SSE,SZSE,INTERBANK_BM,HKEX,NASDAQ,NYSE
2007/11/20,2007/11/20,2007/11/12,2007/11/13,2007/11/6,2007/11/6
2007/11/21,2007/11/21,2007/11/13,2007/11/14,2007/11/7,2007/11/7
2007/11/22,2007/11/22,2007/11/14,2007/11/15,2007/11/8,2007/11/8
2007/11/23,2007/11/23,2007/11/15,2007/11/16,2007/11/9,2007/11/9
2007/11/26,2007/11/26,2007/11/16,2007/11/19,2007/11/12,2007/11/12
2007/11/27,2007/11/27,2007/11/19,2007/11/20,2007/11/13,2007/11/13
2007/11/28,2007/11/28,2007/11/20,2007/11/21,2007/11/14,2007/11/14
2007/11/29,2007/11/29,2007/11/21,2007/11/22,2007/11/15,2007/11/15
2007/11/30,2007/11/30,2007/11/22,2007/11/23,2007/11/16,2007/11/16
2007/12/3,2007/12/3,2007/11/23,2007/11/26,2007/11/19,2007/11/19
2007/12/4,2007/12/4,2007/11/26,2007/11/27,2007/11/20,2007/11/20
2007/12/5,2007/12/5,2007/11/27,2007/11/28,2007/11/21,2007/11/21
2007/12/6,2007/12/6,2007/11/28,2007/11/29,2007/11/23,2007/11/23
2007/12/7,2007/12/7,2007/11/29,2007/11/30,2007/11/26,2007/11/26
2007/12/10,2007/12/10,2007/11/30,2007/12/3,2007/11/27,2007/11/27
2007/12/11,2007/12/11,2007/12/3,2007/12/4,2007/11/28,2007/11/28
2007/12/12,2007/12/12,2007/12/4,2007/12/5,2007/11/29,2007/11/29
2007/12/13,2007/12/13,2007/12/5,2007/12/6,2007/11/30,2007/11/30
2007/12/14,2007/12/14,2007/12/6,2007/12/7,2007/12/3,2007/12/3
2007/12/17,2007/12/17,2007/12/7,2007/12/10,2007/12/4,2007/12/4
2007/12/18,2007/12/18,2007/12/10,2007/12/11,2007/12/5,2007/12/5
2007/12/19,2007/12/19,2007/12/11,2007/12/12,2007/12/6,2007/12/6
2007/12/20,2007/12/20,2007/12/12,2007/12/13,2007/12/7,2007/12/7
2007/12/21,2007/12/21,2007/12/13,2007/12/14,2007/12/10,2007/12/10
2007/12/24,2007/12/24,2007/12/14,2007/12/17,2007/12/11,2007/12/11
2007/12/25,2007/12/25,2007/12/17,2007/12/18,2007/12/12,2007/12/12
2007/12/26,2007/12/26,2007/12/18,2007/12/19,2007/12/13,2007/12/13
2007/12/27,2007/12/27,2007/12/19,2007/12/20,2007/12/14,2007/12/14
2007/12/28,2007/12/28,2007/12/20,2007/12/21,2007/12/17,2007/12/17
2008/1/2,2008/1/2,2007/12/21,2007/12/24,2007/12/18,2007/12/18
2008/1/3,2008/1/3,2007/12/24,2007/12/27,2007/12/19,2007/12/19
2008/1/4,2008/1/4,2007/12/25,2007/12/28,2007/12/20,2007/12/20
2008/1/7,2008/1/7,2007/12/26,2007/12/31,2007/12/21,2007/12/21
2008/1/8,2008/1/8,2007/12/27,2008/1/2,2007/12/24,2007/12/24
2008/1/9,2008/1/9,2007/12/28,2008/1/3,2007/12/26,2007/12/26
2008/1/10,2008/1/10,2007/12/29,2008/1/4,2007/12/27,2007/12/27
2008/1/11,2008/1/11,2008/1/2,2008/1/7,2007/12/28,2007/12/28
2008/1/14,2008/1/14,2008/1/3,2008/1/8,2007/12/31,2007/12/31
2008/1/15,2008/1/15,2008/1/4,2008/1/9,2008/1/2,2008/1/2
2008/1/16,2008/1/16,2008/1/7,2008/1/10,2008/1/3,2008/1/3
2008/1/17,2008/1/17,2008/1/8,2008/1/11,2008/1/4,2008/1/4
2008/1/18,2008/1/18,2008/1/9,2008/1/14,2008/1/7,2008/1/7
2008/1/21,2008/1/21,2008/1/10,2008/1/15,2008/1/8,2008/1/8
2008/1/22,2008/1/22,2008/1/11,2008/1/16,2008/1/9,2008/1/9
2008/1/23,2008/1/23,2008/1/14,2008/1/17,2008/1/10,2008/1/10
2008/1/24,2008/1/24,2008/1/15,2008/1/18,2008/1/11,2008/1/11
2008/1/25,2008/1/25,2008/1/16,2008/1/21,2008/1/14,2008/1/14
2008/1/28,2008/1/28,2008/1/17,2008/1/22,2008/1/15,2008/1/15
2008/1/29,2008/1/29,2008/1/18,2008/1/23,2008/1/16,2008/1/16
2008/1/30,2008/1/30,2008/1/21,2008/1/24,2008/1/17,2008/1/17
2008/1/31,2008/1/31,2008/1/22,2008/1/25,2008/1/18,2008/1/18
2008/2/1,2008/2/1,2008/1/23,2008/1/28,2008/1/22,2008/1/22
2008/2/4,2008/2/4,2008/1/24,2008/1/29,2008/1/23,2008/1/23
2008/2/5,2008/2/5,2008/1/25,2008/1/30,2008/1/24,2008/1/24
2008/2/13,2008/2/13,2008/1/28,2008/1/31,2008/1/25,2008/1/25
2008/2/14,2008/2/14,2008/1/29,2008/2/1,2008/1/28,2008/1/28
2008/2/15,2008/2/15,2008/1/30,2008/2/4,2008/1/29,2008/1/29
2008/2/18,2008/2/18,2008/1/31,2008/2/5,2008/1/30,2008/1/30
2008/2/19,2008/2/19,2008/2/1,2008/2/6,2008/1/31,2008/1/31
2008/2/20,2008/2/20,2008/2/2,2008/2/11,2008/2/1,2008/2/1
2008/2/21,2008/2/21,2008/2/3,2008/2/12,2008/2/4,2008/2/4
2008/2/22,2008/2/22,2008/2/4,2008/2/13,2008/2/5,2008/2/5
2008/2/25,2008/2/25,2008/2/5,2008/2/14,2008/2/6,2008/2/6
2008/2/26,2008/2/26,2008/2/13,2008/2/15,2008/2/7,2008/2/7
2008/2/27,2008/2/27,2008/2/14,2008/2/18,2008/2/8,2008/2/8
2008/2/28,2008/2/28,2008/2/15,2008/2/19,2008/2/11,2008/2/11
2008/2/29,2008/2/29,2008/2/18,2008/2/20,2008/2/12,2008/2/12
2008/3/3,2008/3/3,2008/2/19,2008/2/21,2008/2/13,2008/2/13
2008/3/4,2008/3/4,2008/2/20,2008/2/22,2008/2/14,2008/2/14
2008/3/5,2008/3/5,2008/2/21,2008/2/25,2008/2/15,2008/2/15
2008/3/6,2008/3/6,2008/2/22,2008/2/26,2008/2/19,2008/2/19
2008/3/7,2008/3/7,2008/2/25,2008/2/27,2008/2/20,2008/2/20
2008/3/10,2008/3/10,2008/2/26,2008/2/28,2008/2/21,2008/2/21
2008/3/11,2008/3/11,2008/2/27,2008/2/29,2008/2/22,2008/2/22
2008/3/12,2008/3/12,2008/2/28,2008/3/3,2008/2/25,2008/2/25
2008/3/13,2008/3/13,2008/2/29,2008/3/4,2008/2/26,2008/2/26
2008/3/14,2008/3/14,2008/3/3,2008/3/5,2008/2/27,2008/2/27
2008/3/17,2008/3/17,2008/3/4,2008/3/6,2008/2/28,2008/2/28
2008/3/18,2008/3/18,2008/3/5,2008/3/7,2008/2/29,2008/2/29
2008/3/19,2008/3/19,2008/3/6,2008/3/10,2008/3/3,2008/3/3
2008/3/20,2008/3/20,2008/3/7,2008/3/11,2008/3/4,2008/3/4
2008/3/21,2008/3/21,2008/3/10,2008/3/12,2008/3/5,2008/3/5
2008/3/24,2008/3/24,2008/3/11,2008/3/13,2008/3/6,2008/3/6
2008/3/25,2008/3/25,2008/3/12,2008/3/14,2008/3/7,2008/3/7
2008/3/26,2008/3/26,2008/3/13,2008/3/17,2008/3/10,2008/3/10
2008/3/27,2008/3/27,2008/3/14,2008/3/18,2008/3/11,2008/3/11
2008/3/28,2008/3/28,2008/3/17,2008/3/19,2008/3/12,2008/3/12
2008/3/31,2008/3/31,2008/3/18,2008/3/20,2008/3/13,2008/3/13
2008/4/1,2008/4/1,2008/3/19,2008/3/25,2008/3/14,2008/3/14
2008/4/2,2008/4/2,2008/3/20,2008/3/26,2008/3/17,2008/3/17
2008/4/3,2008/4/3,2008/3/21,2008/3/27,2008/3/18,2008/3/18
2008/4/7,2008/4/7,2008/3/24,2008/3/28,2008/3/19,2008/3/19
2008/4/8,2008/4/8,2008/3/25,2008/3/31,2008/3/20,2008/3/20
2008/4/9,2008/4/9,2008/3/26,2008/4/1,2008/3/24,2008/3/24
2008/4/10,2008/4/10,2008/3/27,2008/4/2,2008/3/25,2008/3/25
2008/4/11,2008/4/11,2008/3/28,2008/4/3,2008/3/26,2008/3/26
2008/4/14,2008/4/14,2008/3/31,2008/4/7,2008/3/27,2008/3/27
2008/4/15,2008/4/15,2008/4/1,2008/4/8,2008/3/28,2008/3/28
2008/4/16,2008/4/16,2008/4/2,2008/4/9,2008/3/31,2008/3/31
2008/4/17,2008/4/17,2008/4/3,2008/4/10,2008/4/1,2008/4/1
2008/4/18,2008/4/18,2008/4/7,2008/4/11,2008/4/2,2008/4/2
2008/4/21,2008/4/21,2008/4/8,2008/4/14,2008/4/3,2008/4/3
2008/4/22,2008/4/22,2008/4/9,2008/4/15,2008/4/4,2008/4/4
2008/4/23,2008/4/23,2008/4/10,2008/4/16,2008/4/7,2008/4/7
2008/4/24,2008/4/24,2008/4/11,2008/4/17,2008/4/8,2008/4/8
2008/4/25,2008/4/25,2008/4/14,2008/4/18,2008/4/9,2008/4/9
2008/4/28,2008/4/28,2008/4/15,2008/4/21,2008/4/10,2008/4/10
2008/4/29,2008/4/29,2008/4/16,2008/4/22,2008/4/11,2008/4/11
2008/4/30,2008/4/30,2008/4/17,2008/4/23,2008/4/14,2008/4/14
2008/5/5,2008/5/5,2008/4/18,2008/4/24,2008/4/15,2008/4/15
2008/5/6,2008/5/6,2008/4/21,2008/4/25,2008/4/16,2008/4/16
2008/5/7,2008/5/7,2008/4/22,2008/4/28,2008/4/17,2008/4/17
2008/5/8,2008/5/8,2008/4/23,2008/4/29,2008/4/18,2008/4/18
2008/5/9,2008/5/9,2008/4/24,2008/4/30,2008/4/21,2008/4/21
2008/5/12,2008/5/12,2008/4/25,2008/5/2,2008/4/22,2008/4/22
2008/5/13,2008/5/13,2008/4/28,2008/5/5,2008/4/23,2008/4/23
2008/5/14,2008/5/14,2008/4/29,2008/5/6,2008/4/24,2008/4/24
