class1,class2,name,total_value,yrs_0_1,yrs_1_3,yrs_3_5,yrs_5_7,yrs_7_10,yrs_10_more,name_short
分类指数,代偿期限,中债-1-30年利率债全价指数,CBA05903.CS,CBA05923.CS,CBA05933.CS,CBA05943.CS,CBA05953.CS,CBA05963.CS,CBA05963.CS,130年利率债全价
分类指数,代偿期限,中债-1-3年政策性金融债财富指数,CBA07401.CS,,,,,,,13年政策性金融债财富
分类指数,代偿期限,中债-1-3年政策性金融债净价指数,CBA07402.CS,,,,,,,13年政策性金融债净价
分类指数,代偿期限,中债-1-3年政策性金融债全价指数,CBA07403.CS,,,,,,,13年政策性金融债全价
分类指数,代偿期限,中债-5年期金融债财富指数,CBA03301.CS,,,,,,,5年期金融债财富
分类指数,代偿期限,中债-5年期金融债净价指数,CBA03302.CS,,,,,,,5年期金融债净价
分类指数,代偿期限,中债-5年期金融债全价指数,CBA03303.CS,,,,,,,5年期金融债全价
分类指数,代偿期限,中债-0-3个月国债财富指数,CBA07301.CS,,,,,,,03个月国债财富
分类指数,代偿期限,中债-0-3个月国债净价指数,CBA07302.CS,,,,,,,03个月国债净价
分类指数,代偿期限,中债-0-3个月国债全价指数,CBA07303.CS,,,,,,,03个月国债全价
分类指数,代偿期限,中债-3-5年期国债财富指数,CBA04601.CS,,,,,,,35年期国债财富
分类指数,代偿期限,中债-5年期国债财富指数,CBA03101.CS,,,,,,,5年期国债财富
分类指数,代偿期限,中债-5年期国债净价指数,CBA03102.CS,,,,,,,5年期国债净价
分类指数,代偿期限,中债-5年期国债全价指数,CBA03103.CS,,,,,,,5年期国债全价
分类指数,代偿期限,中债-7-10年国债财富指数,CBA06501.CS,,,,,,,710年国债财富
分类指数,代偿期限,中债-7-10年国债净价指数,CBA06502.CS,,,,,,,710年国债净价
分类指数,代偿期限,中债-7-10年国债全价指数,CBA06503.CS,,,,,,,710年国债全价
分类指数,代偿期限,中债-10年期国债财富指数,CBA04501.CS,,,,,,,10年期国债财富
分类指数,代偿期限,中债-10年期国债净价指数,CBA04502.CS,,,,,,,10年期国债净价
分类指数,代偿期限,中债-10年期国债全价指数,CBA04503.CS,,,,,,,10年期国债全价
分类指数,代偿期限,中债-1-3年国开行债券财富指数,CBA07701.CS,,,,,,,13年国开行债券财富
分类指数,代偿期限,中债-1-3年国开行债券净价指数,CBA07702.CS,,,,,,,13年国开行债券净价
分类指数,代偿期限,中债-1-3年国开行债券全价指数,CBA07703.CS,,,,,,,13年国开行债券全价
分类指数,代偿期限,中债-3-5年国开行债券财富指数,CBA06301.CS,,,,,,,35年国开行债券财富
分类指数,代偿期限,中债-3-5年国开行债券净价指数,CBA06302.CS,,,,,,,35年国开行债券净价
分类指数,代偿期限,中债-3-5年国开行债券全价指数,CBA06303.CS,,,,,,,35年国开行债券全价
分类指数,代偿期限,中债-3-7年国开行债券财富指数,CBA07201.CS,CBA07231.CS,CBA07241.CS,,,,,37年国开行债券财富
分类指数,代偿期限,中债-3-7年国开行债券净价指数,CBA07202.CS,CBA07232.CS,CBA07242.CS,,,,,37年国开行债券净价
分类指数,代偿期限,中债-3-7年国开行债券全价指数,CBA07203.CS,CBA07233.CS,CBA07243.CS,,,,,37年国开行债券全价
分类指数,代偿期限,中债-7-10年国开行债券指数财富指数,CBA05201.CS,,,,,,,710年国开行债券财富
分类指数,代偿期限,中债-7-10年国开行债券指数净价指数,CBA05202.CS,,,,,,,710年国开行债券净价
分类指数,代偿期限,中债-7-10年国开行债券指数全价指数,CBA05203.CS,,,,,,,710年国开行债券全价
分类指数,代偿期限,中债-7-20年国开行债券财富指数,CBA06901.CS,CBA06941.CS,CBA06951.CS,CBA06961.CS,,,,720年国开行债券财富
分类指数,代偿期限,中债-7-20年国开行债券净价指数,CBA06902.CS,CBA06942.CS,CBA06952.CS,CBA06962.CS,,,,720年国开行债券净价
分类指数,代偿期限,中债-7-20年国开行债券全价指数,CBA06903.CS,CBA06943.CS,CBA06953.CS,CBA06963.CS,,,,720年国开行债券全价
分类指数,代偿期限,中债-10-20年国开行债券财富指数,CBA06201.CS,,,,,,,1020年国开行债券财富
分类指数,代偿期限,中债-10-20年国开行债券净价指数,CBA06202.CS,,,,,,,1020年国开行债券净价
分类指数,代偿期限,中债-10-20年国开行债券全价指数,CBA06203.CS,,,,,,,1020年国开行债券全价
分类指数,代偿期限,中债-1-3年农发行债券财富指数,CBA07001.CS,CBA07011.CS,CBA07021.CS,,,,,13年农发行债券财富
分类指数,代偿期限,中债-1-3年农发行债券净价指数,CBA07002.CS,CBA07012.CS,CBA07022.CS,,,,,13年农发行债券净价
分类指数,代偿期限,中债-1-3年农发行债券全价指数,CBA07003.CS,CBA07013.CS,CBA07023.CS,,,,,13年农发行债券全价
分类指数,代偿期限,中债-3-5年农发行债券财富指数,CBA07601.CS,,,,,,,35年农发行债券财富
分类指数,代偿期限,中债-3-5年农发行债券净价指数,CBA07602.CS,,,,,,,35年农发行债券净价
分类指数,代偿期限,中债-3-5年农发行债券全价指数,CBA07603.CS,,,,,,,35年农发行债券全价
分类指数,代偿期限,中债-7-10年农发行债券财富指数,CBA07101.CS,,,,,,,710年农发行债券财富
分类指数,代偿期限,中债-7-10年农发行债券净价指数,CBA07102.CS,,,,,,,710年农发行债券净价
分类指数,代偿期限,中债-7-10年农发行债券全价指数,CBA07103.CS,,,,,,,710年农发行债券全价
分类指数,代偿期限,中债-1-5年进出口行债券财富指数,CBA07801.CS,,,,,,,15年进出口行债券财富
分类指数,代偿期限,中债-1-5年进出口行债券净价指数,CBA07802.CS,,,,,,,15年进出口行债券净价
分类指数,代偿期限,中债-1-5年进出口行债券全价指数,CBA07803.CS,,,,,,,15年进出口行债券全价
分类指数,代偿期限,中债-10年期国债期货期限匹配金融债财富指数,CBA05501.CS,,,,,,,10年期国债期货期限匹配金融债财富
分类指数,代偿期限,中债-10年期国债期货期限匹配金融债净价指数,CBA05502.CS,,,,,,,10年期国债期货期限匹配金融债净价
分类指数,代偿期限,中债-10年期国债期货期限匹配金融债全价指数,CBA05503.CS,,,,,,,10年期国债期货期限匹配金融债全价
分类指数,代偿期限,中债-5年期国债期货期限匹配金融债财富指数,CBA05401.CS,,,,,,,5年期国债期货期限匹配金融债财富
分类指数,代偿期限,中债-5年期国债期货期限匹配金融债净价指数,CBA05402.CS,,,,,,,5年期国债期货期限匹配金融债净价
分类指数,代偿期限,中债-5年期国债期货期限匹配金融债全价指数,CBA05403.CS,,,,,,,5年期国债期货期限匹配金融债全价
分类指数,代偿期限,中债-中短期债券财富指数,CBA00701.CS,CBA00711.CS,CBA00721.CS,CBA00731.CS,CBA00741.CS,CBA00751.CS,CBA00761.CS,中短期债券财富
分类指数,代偿期限,中债-中短期债券净价指数,CBA00702.CS,CBA00712.CS,CBA00722.CS,CBA00732.CS,CBA00742.CS,CBA00752.CS,CBA00762.CS,中短期债券净价
分类指数,代偿期限,中债-中短期债券全价指数,CBA00703.CS,CBA00713.CS,CBA00723.CS,CBA00733.CS,CBA00743.CS,CBA00753.CS,CBA00763.CS,中短期债券全价
分类指数,代偿期限,中债-长期债券财富指数,CBA00801.CS,CBA00811.CS,CBA00821.CS,CBA00831.CS,CBA00841.CS,CBA00851.CS,CBA00861.CS,长期债券财富
分类指数,代偿期限,中债-长期债券净价指数,CBA00802.CS,CBA00812.CS,CBA00822.CS,CBA00832.CS,CBA00842.CS,CBA00852.CS,CBA00862.CS,长期债券净价
分类指数,代偿期限,中债-长期债券全价指数,CBA00803.CS,CBA00813.CS,CBA00823.CS,CBA00833.CS,CBA00843.CS,CBA00853.CS,CBA00863.CS,长期债券全价
分类指数,发行期限,中债-七年期国债财富指数,CBA01601.CS,CBA01611.CS,CBA01621.CS,CBA01631.CS,CBA01641.CS,CBA01651.CS,CBA01661.CS,七年期国债财富
分类指数,发行期限,中债-七年期国债净价指数,CBA01602.CS,CBA01612.CS,CBA01622.CS,CBA01632.CS,CBA01642.CS,CBA01652.CS,CBA01662.CS,七年期国债净价
分类指数,发行期限,中债-七年期国债全价指数,CBA01603.CS,CBA01613.CS,CBA01623.CS,CBA01633.CS,CBA01643.CS,CBA01653.CS,CBA01663.CS,七年期国债全价
分类指数,计息方式,中债-固定利率债券财富指数,CBA00401.CS,CBA00411.CS,CBA00421.CS,CBA00431.CS,CBA00441.CS,CBA00451.CS,CBA00461.CS,固定利率债券财富
分类指数,计息方式,中债-固定利率债券净价指数,CBA00402.CS,CBA00412.CS,CBA00422.CS,CBA00432.CS,CBA00442.CS,CBA00452.CS,CBA00462.CS,固定利率债券净价
分类指数,计息方式,中债-固定利率债券全价指数,CBA00403.CS,CBA00413.CS,CBA00423.CS,CBA00433.CS,CBA00443.CS,CBA00453.CS,CBA00463.CS,固定利率债券全价
分类指数,计息方式,中债-固定利率国债财富指数,CBA01101.CS,CBA01111.CS,CBA01121.CS,CBA01131.CS,CBA01141.CS,CBA01151.CS,CBA01161.CS,固定利率国债财富
分类指数,计息方式,中债-固定利率国债净价指数,CBA01102.CS,CBA01112.CS,CBA01122.CS,CBA01132.CS,CBA01142.CS,CBA01152.CS,CBA01162.CS,固定利率国债净价
分类指数,计息方式,中债-固定利率国债全价指数,CBA01103.CS,CBA01113.CS,CBA01123.CS,CBA01133.CS,CBA01143.CS,CBA01153.CS,CBA01163.CS,固定利率国债全价
分类指数,计息方式,中债-固定利率金融债财富指数,CBA01301.CS,CBA01311.CS,CBA01321.CS,CBA01331.CS,CBA01341.CS,CBA01351.CS,CBA01361.CS,固定利率金融债财富
分类指数,计息方式,中债-固定利率金融债净价指数,CBA01302.CS,CBA01312.CS,CBA01322.CS,CBA01332.CS,CBA01342.CS,CBA01352.CS,CBA01362.CS,固定利率金融债净价
分类指数,计息方式,中债-固定利率金融债全价指数,CBA01303.CS,CBA01313.CS,CBA01323.CS,CBA01333.CS,CBA01343.CS,CBA01353.CS,CBA01363.CS,固定利率金融债全价
分类指数,计息方式,中债-固定利率企业债财富指数,CBA02101.CS,CBA02111.CS,CBA02121.CS,CBA02131.CS,CBA02141.CS,CBA02151.CS,CBA02161.CS,固定利率企业债财富
分类指数,计息方式,中债-固定利率企业债净价指数,CBA02102.CS,CBA02112.CS,CBA02122.CS,CBA02132.CS,CBA02142.CS,CBA02152.CS,CBA02162.CS,固定利率企业债净价
分类指数,计息方式,中债-固定利率企业债全价指数,CBA02103.CS,CBA02113.CS,CBA02123.CS,CBA02133.CS,CBA02143.CS,CBA02153.CS,CBA02163.CS,固定利率企业债全价
分类指数,计息方式,中债-浮动利率债券财富指数,CBA00501.CS,CBA00511.CS,CBA00521.CS,CBA00531.CS,CBA00541.CS,CBA00551.CS,CBA00561.CS,浮动利率债券财富
分类指数,计息方式,中债-浮动利率债券净价指数,CBA00502.CS,CBA00512.CS,CBA00522.CS,CBA00532.CS,CBA00542.CS,CBA00552.CS,CBA00562.CS,浮动利率债券净价
分类指数,计息方式,中债-浮动利率债券全价指数,CBA00503.CS,CBA00513.CS,CBA00523.CS,CBA00533.CS,CBA00543.CS,CBA00553.CS,CBA00563.CS,浮动利率债券全价
分类指数,计息方式,中债-浮动利率金融债财富指数,CBA01401.CS,CBA01411.CS,CBA01421.CS,CBA01431.CS,CBA01441.CS,CBA01451.CS,CBA01461.CS,浮动利率金融债财富
分类指数,计息方式,中债-浮动利率金融债净价指数,CBA01402.CS,CBA01412.CS,CBA01422.CS,CBA01432.CS,CBA01442.CS,CBA01452.CS,CBA01462.CS,浮动利率金融债净价
分类指数,计息方式,中债-浮动利率金融债全价指数,CBA01403.CS,CBA01413.CS,CBA01423.CS,CBA01433.CS,CBA01443.CS,CBA01453.CS,CBA01463.CS,浮动利率金融债全价
分类指数,发行人类型,中债-国开行债券总财富指数,CBA02501.CS,CBA02511.CS,CBA02521.CS,CBA02531.CS,CBA02541.CS,CBA02551.CS,CBA02561.CS,国开行债券总财富
分类指数,发行人类型,中债-国开行债券总净价指数,CBA02502.CS,CBA02512.CS,CBA02522.CS,CBA02532.CS,CBA02542.CS,CBA02552.CS,CBA02562.CS,国开行债券总净价
分类指数,发行人类型,中债-国开行债券总全价指数,CBA02503.CS,CBA02513.CS,CBA02523.CS,CBA02533.CS,CBA02543.CS,CBA02553.CS,CBA02563.CS,国开行债券总全价
分类指数,发行人类型,中债-农发行债券总指数财富指数,CBA05101.CS,CBA05111.CS,CBA05121.CS,CBA05131.CS,CBA05141.CS,CBA05151.CS,CBA05161.CS,农发行债券总财富
分类指数,发行人类型,中债-农发行债券总指数净价指数,CBA05102.CS,CBA05112.CS,CBA05122.CS,CBA05132.CS,CBA05142.CS,CBA05152.CS,CBA05162.CS,农发行债券总净价
分类指数,发行人类型,中债-农发行债券总指数全价指数,CBA05103.CS,CBA05113.CS,CBA05123.CS,CBA05133.CS,CBA05143.CS,CBA05153.CS,CBA05163.CS,农发行债券总全价
分类指数,发行人类型,中债-进出口行债券总指数财富指数,CBA06401.CS,CBA06411.CS,CBA06421.CS,CBA06431.CS,CBA06441.CS,CBA06451.CS,CBA06461.CS,进出口行债券总财富
分类指数,发行人类型,中债-进出口行债券总指数净价指数,CBA06402.CS,CBA06412.CS,CBA06422.CS,CBA06432.CS,CBA06442.CS,CBA06452.CS,CBA06462.CS,进出口行债券总净价
分类指数,发行人类型,中债-进出口行债券总指数全价指数,CBA06403.CS,CBA06413.CS,CBA06423.CS,CBA06433.CS,CBA06443.CS,CBA06453.CS,CBA06463.CS,进出口行债券总全价
分类指数,发行人类型,中债-中国铁路总公司债券财富指数,CBA06801.CS,,,,,,,中国铁路总公司债券财富
分类指数,发行人类型,中债-中国铁路总公司债券净价指数,CBA06802.CS,,,,,,,中国铁路总公司债券净价
分类指数,发行人类型,中债-中国铁路总公司债券全价指数,CBA06803.CS,,,,,,,中国铁路总公司债券全价
分类指数,发行人类型,中债-商业银行债券财富指数,CBA02401.CS,CBA02411.CS,CBA02421.CS,CBA02431.CS,CBA02441.CS,CBA02451.CS,CBA02461.CS,商业银行债券财富
分类指数,发行人类型,中债-商业银行债券净价指数,CBA02402.CS,CBA02412.CS,CBA02422.CS,CBA02432.CS,CBA02442.CS,CBA02452.CS,CBA02462.CS,商业银行债券净价
