,ind_code,indicator,ret_ew,ret_mvfloat,ret_top_30pct,ret_mid_40pct,ret_bottom_30pct,num_sp
39,61.0,S_QFA_CGRPROFIT_diff,0.12776550772848888,0.1519531698019968,0.07891510699182497,0.10220913359657138,0.14900481239660363,33.0
40,61.0,S_FA_ROIC_q_ave,0.11533857973037023,0.17000998711040813,0.22962268482939974,0.05313085907603701,0.06410777399632252,42.0
41,61.0,S_FA_ROA_q_ave,0.11533857973037023,0.17000998711040813,0.24536487325817322,0.008776233013050846,0.057050930907561984,42.0
42,61.0,S_FA_ROIC_diff,0.11533857973037023,0.17000998711040813,0.10940724952176192,0.14984971609817227,0.11799745189284983,42.0
43,61.0,S_FA_ROA_diff,0.11533857973037023,0.17000998711040813,0.10752709432355223,0.13330900796223807,0.11884028008515073,42.0
44,,,0.050965783308250454,0.06229749679803588,0.08769213211235634,-0.010932481969540803,0.03260260890619752,21.0
45,26.0,S_FA_ROE_q_ave,0.06320216939562198,0.02478545171009256,0.1823246965390093,0.02544437458544155,0.011244471386272159,135.0
46,26.0,S_FA_ROE_diff,0.06946996918822125,0.04130991380370154,0.1558515577210036,0.023290378932506118,0.03273297176623332,124.0
47,26.0,S_QFA_CGRGR_diff,0.07763027335322205,0.05341644998505585,0.06792676486945773,0.08389038503464719,0.0818081728392872,103.0
48,26.0,S_QFA_CGRPROFIT_diff,0.0884701807677852,0.050879742189949104,0.06080812163339376,0.0865415063282427,0.10072052124158715,101.0
49,26.0,S_FA_ROIC_q_ave,0.06320216939562198,0.02478545171009256,0.14955177387419277,0.04518807606256846,0.025539044037947465,135.0
50,26.0,S_FA_ROA_q_ave,0.06320216939562198,0.02478545171009256,0.1632760181615937,0.029758609642730555,0.019552937487059795,135.0
51,26.0,S_FA_ROIC_diff,0.06320216939562198,0.02478545171009256,0.16276057069099545,0.0010721705784519668,0.019777760319980315,135.0
52,26.0,S_FA_ROA_diff,0.06320216939562198,0.02478545171009256,0.13802057468069887,0.03166139325798319,0.030568609643620313,135.0
53,,,0.06842813912095645,0.01956820686447946,0.20369659465748824,-0.014786541137537204,0.008658356442023825,62.0
54,63.0,S_FA_ROE_q_ave,0.11306166749626718,0.09701028413099017,0.31049771921798247,0.043872737684218004,0.02531231117550476,39.0
55,63.0,S_FA_ROE_diff,0.08607958485304747,0.05286044994193586,0.089901532924219,0.16228670987704744,0.08446260682293644,37.0
56,63.0,S_QFA_CGRGR_diff,0.09063182864376028,0.10827868006896796,0.09170697344075825,0.06216407474248773,0.09014801348511121,29.0
57,63.0,S_QFA_CGRPROFIT_diff,0.13529489302375056,0.13351932531671318,0.07452083900534695,0.06829078218106208,0.16291946303211577,32.0
58,63.0,S_FA_ROIC_q_ave,0.11306166749626718,0.09701028413099017,0.13936182026668556,0.167000793139205,0.10137271070941452,39.0
59,63.0,S_FA_ROA_q_ave,0.11306166749626718,0.09701028413099017,0.14411728952504305,0.1357597956898651,0.09925916881681118,39.0
60,63.0,S_FA_ROIC_diff,0.11306166749626718,0.09701028413099017,0.2361565034427903,0.05239331103792226,0.058352851520034665,39.0
61,63.0,S_FA_ROA_diff,0.11306166749626718,0.09701028413099017,0.03818730758380093,0.20954489160118436,0.14633916079069662,39.0
62,,,0.04444828542861082,0.05057752043894567,0.06587081985135894,0.05437716326256793,0.03526719924743305,20.0
63,20.0,S_FA_ROE_q_ave,-0.05696318137243834,-0.028289650536583315,-0.04098641995279661,-0.053913828099161086,-0.0641784929813088,45.0
64,20.0,S_FA_ROE_diff,-0.05570799984675272,-0.026414678232190698,-0.05398822414132519,-0.04823298016762109,-0.05647893378366849,42.0
65,20.0,S_QFA_CGRGR_diff,-0.07506611165505911,-0.0491259697228164,-0.009413021781492715,-0.07586240284545724,-0.10632948778532882,31.0
66,20.0,S_QFA_CGRPROFIT_diff,-0.07498496515291325,-0.052957844165346254,-0.10161813528815825,-0.03704949497353257,-0.06287897872780189,32.0
67,20.0,S_FA_ROIC_q_ave,-0.05696318137243834,-0.028289650536583315,-0.011193215614399479,-0.09477733697314089,-0.07763348848897202,45.0
68,20.0,S_FA_ROA_q_ave,-0.05696318137243834,-0.028289650536583315,-0.03657425592621067,-0.06593553335405929,-0.06617108318686374,45.0
69,20.0,S_FA_ROIC_diff,-0.05696318137243834,-0.028289650536583315,-0.06435935801553762,-0.06681465005491187,-0.053622972565877364,45.0
70,20.0,S_FA_ROA_diff,-0.05696318137243834,-0.028289650536583315,-0.04952410528814393,-0.031333887084078006,-0.0603227641201842,45.0
71,,,-0.09360458747804715,-0.03842857044024336,-0.034290318608761305,-0.1440894318112871,-0.12326172191269003,18.0
72,60.0,S_FA_ROE_q_ave,0.16755934432650876,0.25135399045908685,0.13226122776276802,0.1520020725031661,0.18311444654103864,85.0
73,60.0,S_FA_ROE_diff,0.1779467337374317,0.26849742650279507,0.18506416297243847,0.214774598281146,0.17489640692242886,80.0
